"ID","Name","Pos","Team","Price","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts 6","xMin 6","xPts GW2-38"
"322","Wilson-Esbrand","DEF","MCI","4","0.09","1.58","0.07","1.58","0.00","0.05","0.00","0.05","0.00","0.05","0.31"
"343","B Williams","DEF","MUN","4","0.09","1.84","0.08","1.84","0.09","1.84","0.09","1.84","0.09","1.84","3.46"
"364","Krafth","DEF","NEW","4.5","0.09","1.84","0.07","1.84","0.10","1.84","0.07","1.84","0.10","1.84","3.37"
"363","Manquillo","DEF","NEW","4.5","0.09","1.68","0.15","3.68","0.19","3.68","0.13","3.68","0.21","3.68","6.59"
"384","Lolley","MID","NFO","5","0.09","1.58","0.09","1.58","0.09","1.58","0.08","1.58","0.10","1.58","3.41"
"21","Maitland-Niles","MID","ARS","5","0.09","1.58","0.09","1.58","0.09","1.58","0.09","1.58","0.08","1.58","3.21"
"34","B Traore","MID","AVL","5","0.09","1.05","0.08","1.05","0.09","1.05","0.08","1.05","0.08","1.05","3.25"
"51","El Ghazi","MID","AVL","5","0.09","1.05","0.08","1.05","0.09","1.05","0.08","1.05","0.08","1.05","3.21"
"176","Begovic","GK","EVE","4","0.08","2.21","0.10","2.21","0.08","2.21","0.09","2.21","0.06","2.21","3.01"
"35","Olsen","GK","AVL","4","0.08","1.84","0.07","1.84","0.07","1.84","0.06","1.84","0.05","1.84","2.57"
"492","Sarkic","GK","WOL","4","0.08","1.84","0.05","1.84","0.07","1.84","0.08","1.84","0.08","1.84","2.52"
"243","Hjelde","DEF","LEE","4","0.08","2.37","0.04","1.18","0.04","1.18","0.02","0.59","0.02","0.59","0.84"
"187","Gbamin","MID","EVE","4.5","0.08","1.32","0.09","1.32","0.08","1.32","0.09","1.32","0.08","1.32","3.08"
"48","Chukwuemeka","MID","CHE","4.5","0.08","1.32","0.08","1.32","0.08","1.32","0.08","1.32","0.08","1.32","2.97"
"184","Gomes","MID","EVE","4.5","0.08","1.58","0.09","1.58","0.08","1.58","0.08","1.58","0.07","1.58","2.94"
"348","Heaton","GK","MUN","4","0.07","1.84","0.05","1.84","0.07","1.84","0.06","1.84","0.07","1.84","2.57"
"236","Klaesson","GK","LEE","4","0.07","1.84","0.06","1.84","0.06","1.84","0.08","1.84","0.06","1.84","2.25"
"292","Tsimikas","DEF","LIV","4.5","0.07","1.05","0.25","5.26","0.83","12.63","0.72","12.63","0.69","12.63","24.34"
"434","Winks","MID","TOT","4.5","0.07","1.05","0.08","1.05","0.07","1.05","0.07","1.05","0.08","1.05","2.71"
"426","Forster","GK","TOT","4","0.06","1.84","0.09","1.84","0.09","1.84","0.07","1.84","0.09","1.84","2.85"
"518","Hennessey","GK","NFO","4","0.06","1.84","0.07","1.84","0.05","1.84","0.03","1.84","0.08","1.84","2.26"
"362","Dummett","DEF","NEW","4","0.06","1.84","0.05","1.84","0.07","1.84","0.04","1.84","0.08","1.84","2.44"
"208","Kongolo","DEF","FUL","4","0.06","1.58","0.07","1.58","0.05","1.58","0.07","1.58","0.04","1.58","2.21"
"539","Hill","DEF","BOU","4.5","0.06","4.63","0.13","4.63","0.06","4.63","0.13","3.47","0.08","2.32","2.56"
